STATISTIC,Statistic Label,TLIST(M1),Month,C02596V03150,Industry Sector NACE Rev 2,UNIT,VALUE
WPM40C01,Domestic Industrial Price Index (Excl VAT),202202,2022 February,23,Other non-metallic mineral products (23),Base 2021=100,107.675284
WPM40C01,Domestic Industrial Price Index (Excl VAT),202202,2022 February,24,Basic metals (24),Base 2021=100,112.9324291
WPM40C01,Domestic Industrial Price Index (Excl VAT),202202,2022 February,25,"Fabricated metal products, except machinery and equipment (25)",Base 2021=100,103.2355138
WPM40C01,Domestic Industrial Price Index (Excl VAT),202202,2022 February,27,Electrical equipment (27),Base 2021=100,102.6618036
WPM40C01,Domestic Industrial Price Index (Excl VAT),202202,2022 February,29,"Motor vehicles, trailers and semi-trailers (29)",Base 2021=100,104.0400618
WPM40C01,Domestic Industrial Price Index (Excl VAT),202202,2022 February,31,Furniture (31),Base 2021=100,103.3953466
WPM40C01,Domestic Industrial Price Index (Excl VAT),202202,2022 February,V0800,Mining and quarrying (05 to 09),Base 2021=100,100.5398188
WPM40C01,Domestic Industrial Price Index (Excl VAT),202203,2022 March,10,Food products (10),Base 2021=100,106.5980846
WPM40C01,Domestic Industrial Price Index (Excl VAT),202203,2022 March,13,Textiles (13),Base 2021=100,100.5374358
WPM40C01,Domestic Industrial Price Index (Excl VAT),202203,2022 March,14,Wearing apparel (14),Base 2021=100,100.0366865
WPM40C01,Domestic Industrial Price Index (Excl VAT),202203,2022 March,16,"Wood and wood products, except furniture (16)",Base 2021=100,104.0426307
WPM40C01,Domestic Industrial Price Index (Excl VAT),202203,2022 March,17,Paper and paper products (17),Base 2021=100,103.5724452
WPM40C01,Domestic Industrial Price Index (Excl VAT),202203,2022 March,20,Chemicals and chemical products (20),Base 2021=100,128.8323545
WPM40C01,Domestic Industrial Price Index (Excl VAT),202203,2022 March,22,Rubber and plastic products (22),Base 2021=100,101.328663
WPM40C01,Domestic Industrial Price Index (Excl VAT),202203,2022 March,23,Other non-metallic mineral products (23),Base 2021=100,108.5887532
WPM40C01,Domestic Industrial Price Index (Excl VAT),202203,2022 March,24,Basic metals (24),Base 2021=100,114.3399673
